15
o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment|o_year|q3_annot|q10_annot|q18_annot|q8_annot|q9_annot|
1569|311|O|97926.06|1998-04-02|5-LOW|Clerk#000000786|0|orbits. fluffily even decoys serve blithely. furiously furious realms nag acro|1998|0|0|1|0|1|
1570|367|O|46459.82|1998-03-16|1-URGENT|Clerk#000000745|0|pinto beans haggle furiousl|1998|0|0|1|0|1|
1571|308|F|172821.14|1992-12-05|2-HIGH|Clerk#000000565|0|ously furiously bold warthogs. slyly ironic instructions are quickly a|1992|1|0|1|0|1|
1572|32|O|51037.66|1996-02-24|2-HIGH|Clerk#000000994|0|fluffily ironic accounts haggle blithely final platelets! slyly regular foxes|1996|0|0|1|1|1|
1573|445|F|107279.46|1992-12-28|2-HIGH|Clerk#000000940|0|ess, ironic deposits use along the carefu|1992|1|0|1|0|1|
1574|401|O|214036.75|1996-12-12|3-MEDIUM|Clerk#000000809|0| ideas hinder after the carefully unusual |1996|0|0|1|1|1|
1575|434|O|227527.65|1995-09-13|3-MEDIUM|Clerk#000000497|0|. furiously regular dep|1995|0|0|1|1|1|
1600|278|F|154686.00|1993-03-03|3-MEDIUM|Clerk#000000627|0|tions cajole quietly above the regular, silent requests. slyly fin|1993|1|0|1|0|1|
1601|158|F|95854.63|1994-08-27|5-LOW|Clerk#000000469|0|ent deposits are ca|1994|1|0|1|0|1|
1602|4|F|5654.35|1993-08-05|5-LOW|Clerk#000000660|0|deposits. busily silent instructions haggle furiously. fin|1993|1|1|1|0|1|
1603|4|F|33206.60|1993-07-31|4-NOT SPECIFIED|Clerk#000000869|0|s. slyly silent deposits boo|1993|1|0|1|0|1|
1604|337|F|128877.37|1993-07-17|5-LOW|Clerk#000000512|0|lithely silent waters. blithely unusual packages alongside |1993|1|0|1|0|1|
1605|173|O|163388.53|1998-04-24|4-NOT SPECIFIED|Clerk#000000616|0|sleep furiously? ruthless, even pinto beans |1998|0|0|1|0|1|
1606|160|O|143436.20|1997-04-17|4-NOT SPECIFIED|Clerk#000000550|0|r requests. quickly even platelets breach before the ironically|1997|0|0|1|0|1|
1607|448|O|208357.23|1995-12-16|2-HIGH|Clerk#000000498|0| bold, pending foxes haggle. slyly silent |1995|0|0|1|1|1|
1632|199|O|235176.49|1997-01-08|3-MEDIUM|Clerk#000000351|0|onic requests are accounts. bold a|1997|0|0|1|0|1|
1633|43|O|65080.48|1995-10-14|2-HIGH|Clerk#000000666|0|y silent accounts sl|1995|0|0|1|1|1|
1634|208|O|170550.32|1996-09-10|1-URGENT|Clerk#000000360|0|arefully blithely ironic requests. slyly unusual instructions alongside|1996|0|0|1|1|1|
1635|13|O|82649.51|1997-02-13|3-MEDIUM|Clerk#000000958|0|s. slyly ironic requests affix slyly |1997|0|0|1|0|1|
1636|236|O|211013.43|1997-06-17|3-MEDIUM|Clerk#000000457|0|ding requests. slyly ironic courts wake quickl|1997|0|0|1|0|1|
1637|220|F|208549.55|1995-02-08|4-NOT SPECIFIED|Clerk#000000189|0| final accounts. blithely silent ideas cajole bravely. carefully express |1995|1|0|1|1|1|
1638|418|O|206179.97|1997-08-13|2-HIGH|Clerk#000000643|0|he fluffily regular asymp|1997|0|0|1|0|1|
1639|13|O|129572.10|1995-08-20|4-NOT SPECIFIED|Clerk#000000939|0|haggle furiously. final requests detect furious|1995|0|0|1|1|1|
1664|193|O|225602.37|1996-03-03|1-URGENT|Clerk#000000090|0|y quickly even asymptotes. furiously regular packages haggle quickly fin|1996|0|0|1|1|1|
1665|227|F|5352.83|1994-05-08|2-HIGH|Clerk#000000920|0|ly regular packages are fluffily even ideas. fluffily final|1994|1|0|1|0|1|
1666|283|O|164366.84|1995-10-18|1-URGENT|Clerk#000000849|0|ffily pending dependencies wake fluffily. pending, final accounts |1995|0|0|1|1|1|
1667|14|O|140689.85|1997-10-10|2-HIGH|Clerk#000000103|0|e accounts. slyly express accounts must are a|1997|0|0|1|0|1|
1668|425|O|155961.25|1997-07-12|4-NOT SPECIFIED|Clerk#000000148|0|eodolites. carefully dogged dolphins haggle q|1997|0|0|1|0|1|
1669|7|O|28273.02|1997-06-09|3-MEDIUM|Clerk#000000663|0|er ironic requests detect furiously blithely sp|1997|0|0|1|0|1|
1670|74|O|109868.99|1997-05-24|2-HIGH|Clerk#000000320|0|unusual dependencies. furiously special platelets main|1997|0|0|1|0|1|
1671|103|O|136591.14|1996-07-27|4-NOT SPECIFIED|Clerk#000000275|0|ly. slyly pending requests was above the |1996|0|0|1|1|1|
1696|11|O|122476.04|1998-01-08|4-NOT SPECIFIED|Clerk#000000041|0|bravely bold accounts above the quickly bold|1998|0|0|1|0|1|
1697|229|O|145253.91|1996-10-07|1-URGENT|Clerk#000000815|0|o x-ray blithely. pl|1996|0|0|1|1|1|
1698|119|O|164620.99|1997-04-23|2-HIGH|Clerk#000000432|0|slyly. carefully express deposit|1997|0|0|1|0|1|
1699|251|F|74745.96|1993-12-30|1-URGENT|Clerk#000000125|0|jole blithely. furiously un|1993|1|0|1|0|1|
1700|196|O|114468.02|1996-06-15|3-MEDIUM|Clerk#000000328|0|ely final dolphins wake sometimes above the quietly regular deposits. fur|1996|0|0|1|1|1|
1701|386|F|88380.83|1992-05-19|2-HIGH|Clerk#000000395|0|furiously. regular, close theodoli|1992|1|0|1|0|1|
1702|196|P|231684.66|1995-05-07|2-HIGH|Clerk#000000300|0|around the carefully final deposits cajole carefully according to the b|1995|0|0|1|1|1|
1703|401|F|153751.43|1993-01-28|3-MEDIUM|Clerk#000000463|0| pinto beans poach. bold courts boost. regular, express deposits at|1993|1|0|1|0|1|
1728|190|O|163879.02|1996-05-22|2-HIGH|Clerk#000000711|0|beans. slyly regular instructions sleep! slyly final packages|1996|0|0|1|1|1|
1729|394|F|15746.66|1992-05-19|2-HIGH|Clerk#000000158|0|pending foxes wake. accounts|1992|1|0|1|0|1|
1730|370|O|185057.33|1998-07-24|5-LOW|Clerk#000000794|0| fluffily pending deposits serve. furiously even requests wake furiou|1998|0|0|1|0|1|
1731|385|O|232198.24|1996-01-06|1-URGENT|Clerk#000000268|0|lithely regular, final instructions. ironic, express packages are above|1996|0|0|1|1|1|
1732|439|F|215097.21|1993-11-29|5-LOW|Clerk#000000903|0|inal requests integrate dolph|1993|1|0|1|0|1|
1733|443|O|198392.42|1996-05-12|2-HIGH|Clerk#000000789|0|e carefully according to the accounts. furiously pending instructions sleep|1996|0|0|1|1|1|
1734|20|F|56698.61|1994-06-11|2-HIGH|Clerk#000000722|0| final ideas haggle. blithely quick foxes sleep busily bold ideas. i|1994|1|0|1|0|1|
1735|62|F|126153.95|1992-12-27|1-URGENT|Clerk#000000458|0|ully idle requests wake qu|1992|1|0|1|0|1|
1760|343|O|100584.93|1996-05-17|5-LOW|Clerk#000000917|0| deposits. busily regular deposits wake blithely along the furiously even re|1996|0|0|1|1|1|
1761|316|F|242093.11|1993-12-24|2-HIGH|Clerk#000000817|0|efully slyly bold frets. packages boost b|1993|1|0|1|0|1|
1762|230|F|227871.53|1994-08-20|4-NOT SPECIFIED|Clerk#000000653|0|ly ironic packages. furi|1994|1|0|1|0|1|
1763|362|O|166177.47|1996-10-29|2-HIGH|Clerk#000000321|0|es. bold dependencies haggle furiously along |1996|0|0|1|1|1|
1764|85|F|56267.79|1992-03-25|1-URGENT|Clerk#000000182|0|. slyly final packages integrate carefully acro|1992|1|0|1|0|1|
1765|218|O|47619.23|1995-12-03|4-NOT SPECIFIED|Clerk#000000490|0| regular excuses wake slyly|1995|0|0|1|1|1|
1766|416|O|47199.71|1996-10-12|2-HIGH|Clerk#000000983|0|unusual deposits affix quickly beyond the carefully s|1996|0|0|1|1|1|
1767|74|P|152439.58|1995-03-14|2-HIGH|Clerk#000000327|0|eposits use carefully carefully regular platelets. quickly regular packages al|1995|0|0|1|1|1|
1792|142|F|140674.61|1993-11-09|5-LOW|Clerk#000000102|0|ructions haggle along the pending packages. carefully speci|1993|1|0|1|0|1|
1793|53|F|91047.79|1992-07-12|4-NOT SPECIFIED|Clerk#000000291|0|regular packages cajole. blithely special packages according to the final d|1992|1|0|1|0|1|
1794|419|O|219973.49|1997-09-28|1-URGENT|Clerk#000000686|0|ally silent pinto beans. regular package|1997|0|0|1|0|1|
1795|280|F|185285.21|1994-03-19|2-HIGH|Clerk#000000815|0| quickly final packages! blithely dogged accounts c|1994|1|0|1|0|1|
1796|139|F|37491.82|1992-11-21|2-HIGH|Clerk#000000245|0|eans use furiously around th|1992|1|0|1|0|1|
1797|373|O|57608.45|1996-05-07|3-MEDIUM|Clerk#000000508|0|quiet platelets haggle since the quickly ironic instructi|1996|0|0|1|1|1|
1798|155|O|56426.77|1997-07-28|1-URGENT|Clerk#000000741|0|al foxes are blithe|1997|0|0|1|0|1|
1799|181|F|49848.02|1994-03-07|4-NOT SPECIFIED|Clerk#000000339|0|ns sleep furiously final waters. blithely regular instructions h|1994|1|0|1|0|1|
1824|145|F|97095.81|1994-05-05|1-URGENT|Clerk#000000972|0|e blithely fluffily|1994|1|0|1|0|1|
1825|440|F|192641.94|1993-12-05|3-MEDIUM|Clerk#000000345|0|ironic, final accou|1993|1|0|1|0|1|
1826|244|F|154777.85|1992-04-16|4-NOT SPECIFIED|Clerk#000000718|0|the even asymptotes dazzle fluffily slyly regular asymptotes. final, unu|1992|1|0|1|0|1|
1827|316|O|255125.47|1996-06-22|4-NOT SPECIFIED|Clerk#000000369|0|luffily even requests haggle sly|1996|0|0|1|1|1|
1828|95|F|152263.68|1994-04-18|3-MEDIUM|Clerk#000000840|0|y quickly bold packag|1994|1|0|1|0|1|
1829|334|F|155549.53|1994-05-08|2-HIGH|Clerk#000000537|0| accounts wake above the furiously unusual requests. pending package|1994|1|0|1|0|1|
1830|395|F|101107.23|1995-02-23|1-URGENT|Clerk#000000045|0|according to the even,|1995|1|0|1|1|1|
1831|212|F|69615.48|1993-12-02|1-URGENT|Clerk#000000854|0| accounts. carefully even accounts boost furiously. regular ideas engage. |1993|1|0|1|0|1|
1856|313|F|227974.97|1992-03-20|4-NOT SPECIFIED|Clerk#000000952|0|. special pinto beans run acr|1992|1|0|1|0|1|
1857|397|F|129783.36|1993-01-13|2-HIGH|Clerk#000000083|0|hely final ideas slee|1993|1|0|1|0|1|
1858|427|O|31391.96|1997-12-13|1-URGENT|Clerk#000000389|0|thely. slyly final deposits sleep|1997|0|0|1|0|1|
1859|181|O|134095.20|1997-04-11|4-NOT SPECIFIED|Clerk#000000949|0| the foxes. bravely special excuses nag carefully special r|1997|0|0|1|0|1|
1860|29|O|11136.12|1996-04-04|3-MEDIUM|Clerk#000000556|0|osits. quickly bold deposits according to |1996|0|0|1|1|1|
1861|206|F|107078.19|1994-01-03|3-MEDIUM|Clerk#000000847|0|r the fluffily close sauternes. furio|1994|1|0|1|0|1|
1862|98|O|117272.38|1998-02-24|5-LOW|Clerk#000000348|0|ts snooze ironically abou|1998|0|0|1|0|1|
1863|220|F|117686.07|1993-09-23|4-NOT SPECIFIED|Clerk#000000658|0|old sentiments. careful, |1993|1|1|1|0|1|
1888|358|F|267082.37|1993-10-31|4-NOT SPECIFIED|Clerk#000000659|0|olites. pinto beans cajole. regular deposits affix. slyly regular|1993|1|1|1|0|1|
1889|73|O|123845.19|1997-03-16|1-URGENT|Clerk#000000854|0|p around the regular notornis. unusual deposits|1997|0|0|1|0|1|
1890|29|O|244807.18|1996-12-18|4-NOT SPECIFIED|Clerk#000000627|0|romise final, regular deposits. regular fox|1996|0|0|1|1|1|
1891|184|F|95408.64|1994-12-15|5-LOW|Clerk#000000495|0|unusual foxes sleep regular deposits. requests wake special pac|1994|1|0|1|0|1|
1892|71|F|161758.96|1994-03-26|5-LOW|Clerk#000000733|0|sts. slyly regular dependencies use slyly. ironic, spec|1994|1|0|1|0|1|
1893|374|O|143527.49|1997-10-30|2-HIGH|Clerk#000000111|0|olites. silent, special deposits eat slyly quickly express packages; hockey p|1997|0|0|1|0|1|
1894|226|F|58350.73|1992-03-30|1-URGENT|Clerk#000000626|0|e furiously. furiously even accounts are slyly final accounts. closely speci|1992|1|0|1|0|1|
1895|20|F|57841.32|1994-05-30|3-MEDIUM|Clerk#000000878|0|ress accounts. bold accounts cajole. slyly final pinto beans poach regul|1994|1|0|1|0|1|
1920|329|O|136613.93|1998-06-24|5-LOW|Clerk#000000018|0|hely; furiously regular excuses|1998|0|0|1|0|1|
1921|259|F|68029.47|1994-01-18|3-MEDIUM|Clerk#000000293|0|counts. slyly quiet requests along the ruthlessly regular accounts are |1994|1|0|1|0|1|
1922|167|O|11830.44|1996-07-13|3-MEDIUM|Clerk#000000984|0|side of the blithely final re|1996|0|0|1|1|1|
1923|404|O|214971.24|1997-07-07|1-URGENT|Clerk#000000471|0| express dolphins. |1997|0|0|1|0|1|
1924|226|O|184368.24|1996-09-07|4-NOT SPECIFIED|Clerk#000000823|0| of the ironic accounts. instructions near the final instr|1996|0|0|1|1|1|
1925|52|F|184466.60|1992-03-05|1-URGENT|Clerk#000000986|0|e slyly regular deposits. furiously |1992|1|0|1|0|1|
1926|280|O|115900.44|1996-01-31|2-HIGH|Clerk#000000568|0|cajole. even warhorses sleep carefully. |1996|0|0|1|1|1|
1927|421|O|26698.72|1995-09-30|3-MEDIUM|Clerk#000000616|0|riously special packages. permanent pearls wake furiously. even packages alo|1995|0|0|1|1|1|
1952|199|F|15314.29|1994-03-16|2-HIGH|Clerk#000000254|0| silent accounts boost |1994|1|0|1|0|1|
1953|449|F|64481.58|1993-11-30|3-MEDIUM|Clerk#000000891|0| fluffily along the quickly even packages. |1993|1|0|1|0|1|
1954|169|O|210736.57|1997-05-31|4-NOT SPECIFIED|Clerk#000000104|0| unusual excuses cajole according to the blithely regular theodolites.|1997|0|0|1|0|1|
1955|37|F|127982.65|1992-04-20|1-URGENT|Clerk#000000792|0|ly special ideas. sometimes final |1992|1|0|1|0|1|
1956|379|F|110448.09|1992-09-20|4-NOT SPECIFIED|Clerk#000000600|0|ironic ideas are silent ideas. furiously final deposits sleep slyly carefu|1992|1|0|1|0|1|
1957|91|O|92061.80|1998-07-21|2-HIGH|Clerk#000000639|0|nding excuses about the |1998|0|0|1|0|1|
1958|157|O|204257.91|1995-09-22|5-LOW|Clerk#000000343|0| haggle blithely. flu|1995|0|0|1|1|1|
1959|128|O|80750.76|1997-01-13|4-NOT SPECIFIED|Clerk#000000631|0| cajole about the blithely express requests. even excuses mold bl|1997|0|0|1|0|1|
1984|154|O|89151.95|1998-04-01|1-URGENT|Clerk#000000416|0| slyly special instructions. unusual foxes use packages. carefully regular req|1998|0|0|1|0|1|
1985|19|F|202853.96|1994-09-02|4-NOT SPECIFIED|Clerk#000000741|0|slyly slyly even pains. slyly reg|1994|1|0|1|0|1|
1986|446|F|40117.15|1994-05-05|2-HIGH|Clerk#000000609|0|across the theodolites. quick|1994|1|0|1|0|1|
1987|295|F|6616.31|1994-04-30|2-HIGH|Clerk#000000652|0|gular platelets alongside |1994|1|0|1|0|1|
1988|323|O|137442.19|1995-10-06|4-NOT SPECIFIED|Clerk#000000011|0|ly ironic dolphins serve quickly busy accounts. bu|1995|0|0|1|1|1|
1989|349|F|40127.06|1994-03-16|4-NOT SPECIFIED|Clerk#000000747|0|ely bold pinto beans ha|1994|1|0|1|0|1|
1990|355|F|58634.15|1994-12-16|2-HIGH|Clerk#000000114|0|e bold patterns. always regul|1994|1|0|1|0|1|
1991|56|F|162162.64|1992-09-07|4-NOT SPECIFIED|Clerk#000000854|0|ing accounts can haggle at the carefully final Tiresias-- pending, regular|1992|1|0|1|0|1|
2016|23|O|28673.48|1996-08-16|3-MEDIUM|Clerk#000000641|0|the carefully ironic foxes. requests nag bold, r|1996|0|0|1|1|1|
2017|302|O|83801.02|1998-05-13|3-MEDIUM|Clerk#000000427|0|nusual requests. blit|1998|0|0|1|0|1|
2018|53|P|31477.75|1995-04-05|4-NOT SPECIFIED|Clerk#000000920|0|gular accounts wake fur|1995|0|0|1|1|1|
2019|403|F|45820.41|1992-10-23|1-URGENT|Clerk#000000565|0| furiously bold packages. fluffily fi|1992|1|0|1|0|1|
2020|218|F|156268.72|1993-06-21|3-MEDIUM|Clerk#000000192|0|es. furiously regular packages above the furiously special theodolites are a|1993|1|0|1|0|1|
2021|211|O|34482.96|1995-07-15|1-URGENT|Clerk#000000155|0|ong the furiously regular requests. unusual deposits wake fluffily inside|1995|0|0|1|1|1|
2022|187|F|248807.43|1992-03-15|1-URGENT|Clerk#000000268|0| dependencies sleep fluffily even, ironic deposits. express, silen|1992|1|0|1|0|1|
2023|355|F|167924.95|1992-05-06|5-LOW|Clerk#000000137|0|ular courts engage according to the|1992|1|0|1|0|1|
2048|52|F|38398.65|1993-11-15|1-URGENT|Clerk#000000934|0|s cajole after the blithely final accounts. f|1993|1|0|1|0|1|
2049|91|O|176828.05|1995-12-07|2-HIGH|Clerk#000000859|0|ly regular requests thrash blithely about the fluffily even theodolites. r|1995|0|0|1|1|1|
2050|82|F|248581.66|1994-06-02|4-NOT SPECIFIED|Clerk#000000821|0|d accounts against the furiously regular packages use bli|1994|1|0|1|0|1|
2051|115|O|102531.17|1996-03-18|4-NOT SPECIFIED|Clerk#000000333|0|ctions sleep blithely. blithely regu|1996|0|0|1|1|1|
2052|269|F|167382.38|1992-04-13|2-HIGH|Clerk#000000767|0| requests sleep around the even, even courts. ironic theodolites affix furious|1992|1|0|1|0|1|
2053|422|F|144464.87|1995-02-07|1-URGENT|Clerk#000000717|0|ar requests: blithely sly accounts boost carefully across t|1995|1|0|1|1|1|
2054|121|F|171100.78|1992-06-08|4-NOT SPECIFIED|Clerk#000000103|0|l requests affix carefully about the furiously special|1992|1|0|1|0|1|
2055|292|F|66263.53|1993-09-04|1-URGENT|Clerk#000000067|0|. warhorses affix slyly blithely express instructions? fur|1993|1|1|1|0|1|
2080|284|F|60712.47|1993-06-18|5-LOW|Clerk#000000190|0|ironic, pending theodolites are carefully about the quickly regular theodolite|1993|1|0|1|0|1|
2081|358|O|172583.96|1997-07-05|2-HIGH|Clerk#000000136|0|ong the regular theo|1997|0|0|1|0|1|
2082|146|F|54548.19|1995-01-10|2-HIGH|Clerk#000000354|0|cial accounts. ironic, express dolphins nod slyly sometimes final reques|1995|1|0|1|1|1|
2083|304|F|33448.92|1993-07-14|3-MEDIUM|Clerk#000000361|0|al patterns. bold, final foxes nag bravely about the furiously express|1993|1|0|1|0|1|
2084|241|F|242722.85|1993-03-17|2-HIGH|Clerk#000000048|0|zle furiously final, careful packages. slyly ironic ideas amo|1993|1|0|1|0|1|
2085|148|F|49166.92|1993-11-21|3-MEDIUM|Clerk#000000818|0|ress, express ideas haggle|1993|1|0|1|0|1|
2086|421|F|234683.66|1994-10-19|1-URGENT|Clerk#000000046|0| permanently regular|1994|1|0|1|0|1|
2087|148|O|68959.71|1998-01-31|2-HIGH|Clerk#000000626|0|e always regular packages nod against the furiously spec|1998|0|0|1|0|1|
2112|190|O|20581.82|1997-02-05|2-HIGH|Clerk#000000351|0|against the slyly even id|1997|0|0|1|0|1|
2113|97|O|80977.92|1997-11-08|2-HIGH|Clerk#000000527|0|slyly regular instruct|1997|0|0|1|0|1|
2114|236|F|140412.71|1995-01-16|5-LOW|Clerk#000000751|0|r, unusual accounts haggle across the busy platelets. carefully |1995|1|0|1|1|1|
2115|313|O|169948.76|1998-05-23|4-NOT SPECIFIED|Clerk#000000101|0|odolites boost. carefully regular excuses cajole. quickly ironic pinto be|1998|0|0|1|0|1|
2116|67|F|78045.35|1994-08-26|1-URGENT|Clerk#000000197|0|efully after the asymptotes. furiously sp|1994|1|0|1|0|1|
2117|67|O|169136.94|1997-04-26|2-HIGH|Clerk#000000887|0|ely even dependencies. regular foxes use blithely.|1997|0|0|1|0|1|
2118|400|O|50584.42|1996-10-09|1-URGENT|Clerk#000000196|0|ial requests wake carefully special packages. f|1996|0|0|1|1|1|
2119|187|O|41689.72|1996-08-20|2-HIGH|Clerk#000000434|0|uickly pending escapades. fluffily ir|1996|0|0|1|1|1|
2144|404|F|134791.97|1994-03-29|3-MEDIUM|Clerk#000000546|0|t. carefully quick requests across the deposits wake regu|1994|1|0|1|0|1|
2145|401|F|22693.52|1992-10-03|1-URGENT|Clerk#000000886|0|sts would snooze blithely alongside of th|1992|1|0|1|0|1|
2146|353|F|203995.18|1992-09-14|4-NOT SPECIFIED|Clerk#000000476|0|ven packages. dependencies wake slyl|1992|1|0|1|0|1|
2147|298|F|98289.56|1992-09-06|4-NOT SPECIFIED|Clerk#000000424|0| haggle carefully furiously final foxes. pending escapades thrash. bold theod|1992|1|0|1|0|1|
2148|385|F|24094.32|1995-04-19|4-NOT SPECIFIED|Clerk#000000517|0|ross the furiously unusual theodolites. always expre|1995|0|0|1|1|1|
2149|302|F|119159.48|1993-03-13|5-LOW|Clerk#000000555|0|nusual accounts nag furiously special reques|1993|1|0|1|0|1|
2150|247|F|195624.44|1994-06-03|3-MEDIUM|Clerk#000000154|0|ect slyly against the even, final packages. quickly regular pinto beans wake c|1994|1|0|1|0|1|
2151|175|O|149024.94|1996-11-11|3-MEDIUM|Clerk#000000996|0|c requests. ironic platelets cajole across the quickly fluffy deposits.|1996|0|0|1|1|1|
2176|311|F|113891.59|1992-11-10|1-URGENT|Clerk#000000195|0|s haggle regularly accor|1992|1|0|1|0|1|
2177|406|O|217815.70|1997-01-20|3-MEDIUM|Clerk#000000161|0|ove the blithely unusual packages cajole carefully fluffily special request|1997|0|0|1|0|1|
2178|25|O|85601.93|1996-12-12|3-MEDIUM|Clerk#000000656|0|thely according to the instructions. furious|1996|0|0|1|1|1|
2179|124|O|91553.91|1996-09-07|2-HIGH|Clerk#000000935|0|ounts alongside of the furiously unusual braids cajol|1996|0|0|1|1|1|
2180|226|O|254936.33|1996-09-14|4-NOT SPECIFIED|Clerk#000000650|0|xpress, unusual pains. furiously ironic excu|1996|0|0|1|1|1|
2181|223|O|118088.37|1995-09-13|3-MEDIUM|Clerk#000000814|0|y against the ironic, even|1995|0|0|1|1|1|
2182|68|F|143886.83|1994-04-05|2-HIGH|Clerk#000000071|0|ccounts. quickly bold deposits across the excuses sl|1994|1|0|1|0|1|
2183|337|O|56215.76|1996-06-22|1-URGENT|Clerk#000000287|0| among the express, ironic packages. slyly ironic platelets integrat|1996|0|0|1|1|1|
2208|203|P|272185.70|1995-05-01|4-NOT SPECIFIED|Clerk#000000900|0|symptotes wake slyly blithely unusual packages.|1995|0|0|1|1|1|
2209|268|F|156476.00|1992-07-10|2-HIGH|Clerk#000000056|0|er above the slyly silent requests. furiously reg|1992|1|0|1|0|1|
2210|97|F|36749.05|1992-01-16|2-HIGH|Clerk#000000941|0| believe carefully quickly express pinto beans. deposi|1992|1|0|1|0|1|
2211|277|F|173775.57|1994-06-30|2-HIGH|Clerk#000000464|0|ffily bold courts e|1994|1|0|1|0|1|
2212|349|F|19753.23|1994-03-23|3-MEDIUM|Clerk#000000954|0|structions above the unusual requests use fur|1994|1|0|1|0|1|
2213|364|F|171801.92|1993-01-15|4-NOT SPECIFIED|Clerk#000000598|0|osits are carefully reg|1993|1|0|1|0|1|
2214|343|O|192645.11|1998-05-05|3-MEDIUM|Clerk#000000253|0|packages. fluffily even accounts haggle blithely. carefully ironic depen|1998|0|0|1|0|1|
2215|118|O|123982.57|1996-06-16|4-NOT SPECIFIED|Clerk#000000817|0|le final, final foxes. quickly regular gifts are carefully deposit|1996|0|0|1|1|1|
2240|167|F|202323.29|1992-03-06|4-NOT SPECIFIED|Clerk#000000622|0|accounts against the slyly express foxes are after the slyly regular |1992|1|0|1|0|1|
2241|304|F|203190.81|1993-05-11|1-URGENT|Clerk#000000081|0|y about the silent excuses. furiously ironic instructions along the sil|1993|1|0|1|0|1|
2242|245|O|18683.41|1997-07-20|4-NOT SPECIFIED|Clerk#000000360|0| pending multipliers. carefully express asymptotes use quickl|1997|0|0|1|0|1|
2243|145|O|13039.31|1995-06-10|2-HIGH|Clerk#000000813|0|ously regular deposits integrate s|1995|0|0|1|1|1|
2244|382|F|27977.95|1993-01-09|1-URGENT|Clerk#000001000|0|ckages. ironic, ironic accounts haggle blithely express excuses. |1993|1|0|1|0|1|
2245|170|F|177565.09|1993-04-28|3-MEDIUM|Clerk#000000528|0|ake carefully. braids haggle slyly quickly b|1993|1|0|1|0|1|
2246|337|O|101198.74|1996-05-27|4-NOT SPECIFIED|Clerk#000000739|0| final gifts sleep |1996|0|0|1|1|1|
2247|284|F|17824.22|1992-08-02|4-NOT SPECIFIED|Clerk#000000947|0|furiously regular packages. final brai|1992|1|0|1|0|1|
2272|415|F|147366.16|1993-04-13|2-HIGH|Clerk#000000449|0|s. bold, ironic pinto beans wake. silently specia|1993|1|0|1|0|1|
2273|403|O|179240.36|1996-12-14|5-LOW|Clerk#000000155|0|uickly express foxes haggle quickly against|1996|0|0|1|1|1|
2274|313|F|68476.66|1993-09-04|4-NOT SPECIFIED|Clerk#000000258|0|nstructions try to hag|1993|1|1|1|0|1|
2275|445|F|41202.16|1992-10-22|4-NOT SPECIFIED|Clerk#000000206|0| furiously furious platelets. slyly final packa|1992|1|0|1|0|1|
2276|125|O|178531.20|1996-04-29|4-NOT SPECIFIED|Clerk#000000821|0|ecial requests. fox|1996|0|0|1|1|1|
2277|268|F|101355.89|1995-01-02|4-NOT SPECIFIED|Clerk#000000385|0|accounts cajole. even i|1995|1|0|1|1|1|
2278|422|O|113612.36|1998-04-25|3-MEDIUM|Clerk#000000186|0|r pinto beans integrate after the carefully even deposits. blit|1998|0|0|1|0|1|
2279|239|F|164003.37|1993-02-23|3-MEDIUM|Clerk#000000898|0|de of the quickly unusual instructio|1993|1|0|1|0|1|
2304|136|F|112744.04|1994-01-07|4-NOT SPECIFIED|Clerk#000000415|0|onic platelets. ironic packages haggle. packages nag doggedly according to|1994|1|0|1|0|1|
2305|127|F|147701.87|1993-01-26|2-HIGH|Clerk#000000440|0|ove the furiously even acco|1993|1|0|1|0|1|
2306|82|O|317749.85|1995-07-26|2-HIGH|Clerk#000000975|0| wake furiously requests. permanent requests affix. final packages caj|1995|0|0|1|1|1|
2307|313|F|75047.89|1993-06-29|5-LOW|Clerk#000000952|0|furiously even asymptotes? carefully regular accounts|1993|1|0|1|0|1|
2308|73|F|68093.27|1992-10-25|4-NOT SPECIFIED|Clerk#000000609|0|ts. slyly final depo|1992|1|0|1|0|1|
2309|299|O|187597.22|1995-09-04|5-LOW|Clerk#000000803|0|he carefully pending packages. fluffily stealthy foxes engage carefully|1995|0|0|1|1|1|
2310|92|O|92725.55|1996-09-20|5-LOW|Clerk#000000917|0|wake carefully. unusual instructions nag ironic, regular excuse|1996|0|0|1|1|1|
2311|215|P|179708.44|1995-05-02|2-HIGH|Clerk#000000761|0|ly pending asymptotes-- furiously bold excus|1995|0|0|1|1|1|
2336|425|O|30133.55|1996-01-07|4-NOT SPECIFIED|Clerk#000000902|0|c, final excuses sleep furiously among the even theodolites. f|1996|0|0|1|1|1|
2337|421|O|50061.98|1997-06-18|4-NOT SPECIFIED|Clerk#000000754|0| quickly. final accounts haggle. carefully final acco|1997|0|0|1|0|1|
2338|419|O|31175.42|1997-09-15|2-HIGH|Clerk#000000951|0|riously final dugouts. final, ironic packages wake express, ironic id|1997|0|0|1|0|1|
2339|326|F|76670.63|1993-12-15|5-LOW|Clerk#000000847|0| against the regular |1993|1|0|1|0|1|
2340|194|O|40891.81|1996-01-12|1-URGENT|Clerk#000000964|0|ter the deposits sleep according to the slyly regular packages. carefully |1996|0|0|1|1|1|
2341|245|F|65475.73|1993-05-30|5-LOW|Clerk#000000443|0|sts-- blithely bold dolphins through the deposits nag blithely carefully re|1993|1|0|1|0|1|
